Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
QALD,QALD+CogComp+SimpleQuestions,"0,8567","0,8487","0,8761","0,8567","0,3073","1903,1669",1,"0,0154","0,0172","0,0162","0,0154",3
QALD,QALD+CogComp+WebQuestions,"0,8709","0,8691","0,9063","0,8709","0,3115","302,0442",1,"0,0105","0,0110","0,0129","0,0105",3
QALD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8723","0,8743","0,9046","0,8723","0,3106","2028,3086",1,"0,0174","0,0169","0,0218","0,0174",4
QALD,QALD+SimpleQuestions,"0,8482","0,8339","0,8711","0,8482","0,3064","1747,7352",1,"0,0350","0,0323","0,0079","0,0350",2
QALD,QALD+WebQuestions,"0,8638","0,8607","0,8730","0,8638","0,3125","146,1638",1,"0,0145","0,0126","0,0086","0,0145",2
QALD,QALD+WebQuestions+SimpleQuestions,"0,8610","0,8689","0,8876","0,8610","0,3116","1876,6096",1,"0,0129","0,0106","0,0062","0,0129",3
QALD,SimpleQuestions,"0,4667","0,4008","0,4250","0,4667","0,3020","1730,9292",0,"0,0232","0,0164","0,0197","0,0232",1
QALD,WebQuestions,"0,7645","0,7710","0,7939","0,7645","0,3089","129,8773",0,"0,0455","0,0299","0,0171","0,0455",1
QALD,WebQuestions+SimpleQuestions,"0,7716","0,7801","0,8153","0,7716","0,3109","1857,9066",0,"0,0352","0,0230","0,0120","0,0352",2
SimpleQuestions,CogComp,"0,6173","0,6748","0,8245","0,6173","37,4450","160,6555",0,"0,0072","0,0055","0,0030","0,0072",1
SimpleQuestions,CogComp+SimpleQuestions,"0,8399","0,8664","0,9188","0,8399","37,7290","1890,2796",1,"0,0241","0,0170","0,0117","0,0241",2
SimpleQuestions,CogComp+WebQuestions,"0,7144","0,7557","0,8422","0,7144","37,3412","284,2947",0,"0,0318","0,0192","0,0159","0,0318",2
SimpleQuestions,CogComp+WebQuestions+SimpleQuestions,"0,8156","0,8548","0,9288","0,8156","37,4696","2011,1735",1,"0,0145","0,0095","0,0026","0,0145",3
SimpleQuestions,LC-QuAD,"0,7285","0,7013","0,7236","0,7285","37,1804","84,1788",0,"0,0215","0,0273","0,0294","0,0215",1
SimpleQuestions,LC-QuAD+CogComp,"0,7206","0,7652","0,8649","0,7206","37,3424","239,1666",0,"0,0178","0,0089","0,0092","0,0178",2
SimpleQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,9243","0,9261","0,9349","0,9243","37,3847","1967,7564",1,"0,0076","0,0071","0,0045","0,0076",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions,"0,7989","0,8169","0,8639","0,7989","37,4541","363,6968",0,"0,0060","0,0066","0,0125","0,0060",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,9155","0,9196","0,9330","0,9155","37,7341","2091,3029",1,"0,0086","0,0080","0,0055","0,0086",4
SimpleQuestions,LC-QuAD+QALD,"0,7737","0,7745","0,8099","0,7737","37,4120","100,5273",0,"0,0136","0,0162","0,0409","0,0136",2
SimpleQuestions,LC-QuAD+QALD+CogComp,"0,7523","0,8091","0,9048","0,7523","37,6689","255,3531",0,"0,0455","0,0403","0,0180","0,0455",3
SimpleQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,9083","0,9124","0,9292","0,9083","38,0732","1984,9350",1,"0,0341","0,0308","0,0166","0,0341",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,7972","0,8186","0,8748","0,7972","37,8755","379,6834",0,"0,0206","0,0139","0,0143","0,0206",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,9268","0,9287","0,9375","0,9268","38,0710","2108,5484",1,"0,0130","0,0112","0,0071","0,0130",5
SimpleQuestions,LC-QuAD+QALD+SimpleQuestions,"0,9221","0,9230","0,9329","0,9221","37,4687","1829,4490",1,"0,0220","0,0204","0,0125","0,0220",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions,"0,8013","0,8063","0,8511","0,8013","37,7569","225,0923",0,"0,0115","0,0129","0,0205","0,0115",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,9102","0,9137","0,9278","0,9102","37,4760","1951,9333",1,"0,0172","0,0146","0,0078","0,0172",4
SimpleQuestions,LC-QuAD+SimpleQuestions,"0,9165","0,9188","0,9309","0,9165","37,6843","1810,5677",1,"0,0300","0,0277","0,0166","0,0300",2
SimpleQuestions,LC-QuAD+WebQuestions,"0,7967","0,8003","0,8340","0,7967","37,7924","208,6178",0,"0,0100","0,0108","0,0123","0,0100",2
SimpleQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,9023","0,9060","0,9239","0,9023","37,7100","1935,8015",1,"0,0201","0,0186","0,0109","0,0201",3
SimpleQuestions,QALD,"0,3733","0,2347","0,2914","0,3733","37,5242","20,7194",0,"0,1462","0,1815","0,2320","0,1462",1
SimpleQuestions,QALD+CogComp,"0,6568","0,7287","0,8903","0,6568","37,3596","177,5519",0,"0,0118","0,0193","0,0259","0,0118",2
SimpleQuestions,QALD+CogComp+SimpleQuestions,"0,8835","0,9030","0,9344","0,8835","37,5425","1903,1669",1,"0,0164","0,0154","0,0102","0,0164",3
SimpleQuestions,QALD+CogComp+WebQuestions,"0,7489","0,7828","0,8528","0,7489","37,7012","302,0442",0,"0,0326","0,0193","0,0163","0,0326",3
SimpleQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8701","0,8969","0,9400","0,8701","37,6426","2028,3086",1,"0,0335","0,0255","0,0085","0,0335",4
SimpleQuestions,QALD+SimpleQuestions,"0,9072","0,9080","0,9232","0,9072","37,4749","1747,7352",1,"0,0264","0,0262","0,0172","0,0264",2
SimpleQuestions,QALD+WebQuestions,"0,7737","0,7849","0,8186","0,7737","37,4518","146,1638",0,"0,0178","0,0169","0,0165","0,0178",2
SimpleQuestions,QALD+WebQuestions+SimpleQuestions,"0,8973","0,9030","0,9246","0,8973","37,7117","1876,6096",1,"0,0331","0,0320","0,0154","0,0331",3
SimpleQuestions,SimpleQuestions,"0,8168","0,8106","0,8842","0,8168","37,6248","1730,9292",1,"0,0599","0,0667","0,0179","0,0599",1
SimpleQuestions,WebQuestions,"0,7637","0,7737","0,8080","0,7637","37,5402","129,8773",0,"0,0305","0,0264","0,0148","0,0305",1
SimpleQuestions,WebQuestions+SimpleQuestions,"0,8836","0,8882","0,9169","0,8836","37,1193","1857,9066",1,"0,0392","0,0378","0,0186","0,0392",2
WebQuestions,CogComp,"0,4952","0,5463","0,7493","0,4952","5,7681","160,6555",0,"0,0082","0,0061","0,0119","0,0082",1
WebQuestions,CogComp+SimpleQuestions,"0,5471","0,5987","0,8037","0,5471","5,8363","1890,2796",0,"0,0288","0,0222","0,0168","0,0288",2
